card_description_id,card_id,subject_id,card_subject_description
1,1,1,"Có thể bạn sẽ gặp vài tai nạn nhỏ khi The Fool xuất hiện; hãy “ở hiện tại” và đừng làm những thứ ngốc nghếch. Dù vậy, Tổng quan, khi lá bài này xuất hiện thì sức khỏe của bạn có vẻ đang đi lên. Nếu bạn có vấn đề về sức khỏe, bạn rất có thể tìm thấy người và phương tiện bạn cần để nhanh chóng hồi phục hoàn toàn. Những suy nghĩ tích cực rất quan trọng và có thể dễ dàng đến với bạn lúc này."
2,1,2,"Trong chuyện tài chính, The Fool là một dấu hiệu tích cực. Bạn có thể trông đợi những sự tăng trưởng, và hơn thế nữa, bạn sẽ tìm thấy trong chính bản thân rằng dù có gì xảy ra về tài chính đi nữa thì bạn vẫn sẽ ổn và sẽ là “kẻ chiến thắng sau hết”. Tin tưởng bản thân, làm việc chăm chỉ, và bạn sẽ làm tốt hơn bạn tưởng đấy."
3,1,3,"Khi The Fool xuất hiện thì rất có thể bạn chưa sẵn sàng cho một mối quan hệ mang tính ràng buộc, trong khi trên thực tế những người khác lại đang thúc ép bạn làm như vậy. Nhưng đây là một dấu hiệu tích cực cho mối quan hệ tình cảm của bạn; nhiều điều hay ho dường như đang chờ chực. Chỉ là đừng để ham muốn vui vẻ của bạn khiến bạn bỏ qua “những điều thực” (tình yêu chân chính, đích thực, sâu nặng) khi nó đến với bạn nhé."
4,1,4,"Những người khác có thể không hiểu hoặc không ủng hộ ý tưởng mới và/hoặc đề xuất mới của bạn, nhưng nếu bạn biết rằng mình đúng thì cứ tiến tới và cố gắng giúp họ hiểu quan điểm của bạn. Điều này đôi khi sẽ biểu thị một vị trí mới – hay thậm chí là lúc bạn phải “biến quách đi một mình” và bắt đầu công cuộc kinh doanh của chính bạn."
5,1,5,"Khi lá bài này xuất hiện, bạn có vẻ mong muốn thử trải nghiệm nhiều cách tiếp cận khác nhau đến thế giớiTinh thần để xem chúng “hợp” thế nào. Không có gì là sai trái với việc khám phá tìm hiểu này, tuy nhiên đừng để cái gì cuốn mình đi quá xa trong lúc “trải nghiệm sơ qua”. Lá bài này có thể biểu thị một nhu cầu mạnh mẽ đòi có kiến thức sâu hơn về Tinh thần, và bạn bè cùng gia đình bạn có lẽ sẽ không hiểu nó đến từ đâu. Dù sao đi nữa, thì bạn vẫn phải làm những gì tốt nhất cho bạn thôi. "
6,2,1,"Nếu bạn đang cảm thấy ốm o thì chắc sẽ sớm hết thôi; lá bài này biểu thị sức mạnh và/hoặc sức mạnh quay trở lại. Nếu bạn tập tành vài thứ mà không thấy khá hơn, có lẽ bạn sẽ tiến bộ lớn nếu thực hiện vài liệu pháp thay thế (tư vấn dinh dưỡng, xoa bóp, ăn kiêng, v..v)."
7,2,2,"Tiền bạc có thể đang tăng tiến khi lá bài này xuất hiện – thậm chí nếu thực tế có vẻ như không mấy khả thi trong quá trình và thời điểm trải bài. Thứ gì đó sẽ xuất hiện cho phép bạn kiếm được nhiều tiền hơn, dù đó là một ý tưởng, một cơ hội làm vài việc “ngoài luồng” hay thậm chí là một vị trí mới. Có niềm tin với bản thân và khả năng thành công của bạn nhé."
8,2,3,"Nếu bạn đang tìm kiếm một cuộc tình mới, đây là lúc bạn kiểu như gặp ai đó mới mẻ. Nếu bạn đang ở trong một mối quan hệ lâu dài, mối quan hệ sẽ có thể thăng tiến lên đến một mức mới, sâu sắc hơn của những cam kết và tận hưởng. Đây là lúc cực kỳ thích hợp để “ra ngoài và gặp gỡ mọi người”."
9,2,4,Có một sự cải thiện trong công việc/sự nghiệp của bạn. Lá bài này chỉ ra một thời điểm xuất sắc để tìm một công việc mới hoặc yêu cầu và nhận thăng tiến trong công việc hiện tại của bạn nếu có thể. Đặc biệt nếu công việc của bạn nằm ở mảng sáng tạo thì đây là lúc những đề xuất và tác phẩm của bạn sẽ được đánh giá rất cao và có thể đưa bạn đến những thứ “to lớn hơn và tốt đẹp hơn rất nhiều”.
10,2,5,Đây là lúc cực kỳ thích hợp cho bạn thực hiện một vài dạng nghiên cứu Tinh thần trước đây bạn từng nghĩ tới nhưng không có cơ hội để theo đuổi. Bạn cũng sẽ có lợi từ những nhóm thảo luận có gốc gác Tinh thần. Một người thầy tinh thần có thể xuất hiện trong đời bạn hiện tại. Người này sẽ là một người thầy xuất sắc và sẽ giúp bạn nhìn đời bằng một con mắt khác.
11,3,1,"Có nhiều thứ về sức khoẻ của mình mà bạn chưa biết. Nếu bạn cảm thấy có điều gì đó không ổn với cơ thể mình, thì hãy tin vào điều đó và chăm sóc bản thân. Bạn sẽ cần phải khám qua nhiều bác sĩ để biết tình hình hiện tại. Nếu có bài tập hay liệu pháp nào làm bạn cảm thấy không được ổn thì đừng làm. Hãy lắng nghe cơ thể mình. Đảm bảo là bạn đang cung cấp cho cơ thể đủ chất dinh dưỡng và tập thể dục đều đặn."
12,3,2,"Ai đó đang không hoàn toàn thành thật với bạn về tình hình tài chính. Bạn đang thiếu thông tin. Hãyđào sâu và tự mình điều tra mọi việc. Hãy đảm bảo khi làm những việc liên quan đến giao dịch tài chính, chỉ đưa những thông tin cần thiết và không gì khác ngoài thông tin cần thiết."
13,3,3,"Đây có thể là khoảng thời gian kỳ diệu và bí ấn cho tình yêu. Nếu bạn đang hẹn hò cô nàng nào đấy, thì có thể cô ấy là người cách xa bạn và bạn khó mà với tới được. Hãy tin vào bản năng của mình. Nếu bạn là một cô gái, có thể có ai đó đang liên tục ra tín hiệu và muốn tiến tới với bạn. Hãy khôn ngoan đưa ra quyết định – chuyện này cũng nhiều hứa hẹn đó!"
14,3,4,"Khả năng là một bất ngờ thú vị sẽ sớm đến với bạn trong công việc. Cũng có thể là một cơ hội công việc mới. Bạn cũng có thể sẽ tìm thấy hệ thống hoặc quy trình mới làm cho cuộc sống của bạn ít áp lực và đơn hơn. Hãy tránh xa những câu chuyện phiếm ở chỗ làm, đừng dính vào nó."
15,3,5,Những thông điệp có thể đến với bạn từ mọi nơi.  Hãy nhìn vào thế giới Tinh thần theo cách mà bạn chưa từng làm trước đây. Hãy nói chuyện với những người có trải nghiệm và niềm tin khác với bạn. Hãy ra khỏi vùng an toàn của mình và nó sẽ làm bạn thấy mình nhận được rất nhiều.
16,4,1,"Nếu bạn đang muốn có con, đây là dấu hiệu rất tốt, điều bạn muốn đang tới. Nếu bạn chưa sẵn sàng làm cha mẹ và việc mang thai chưa phải là điều bạn trông chờ, vậy hãy cẩn thận. Nếu đang có vấn đề sức khoẻ, hãy cân nhắc kỹ càng xem cơ thể bạn đang cố nói với bạn điều gì? Hãy thử những liệu pháp thiên nhiên hoặc phương pháp vi lượng đồng căn."
17,4,2,"Lá bài này biểu thị thời điểm lý tưởng để đầu tư, hãy nghe theo bản năng. Tiền sẽ đến rất nhiều. Hãy biết bỏ ra những gì mình đang có để lấy lại nhiều hơn. Hãy chia sẻ sự giàu có của bạn với những người xung quanh và bạn sẽ còn giàu có hơn nữa."
18,4,3,"Đây là lúc tình yêu đầy hứa hẹn sẽ tới. Người mà bạn đang tìm kiếm tự dưng tìm đến bạn (bạn bè hoặc người yêu), hãy chú ý, mọi thứ đang rất hứa hẹn. Nếu bạn đang một mình, đây là lúc tình yêu đích thực có thể xuất hiện. Nếu bạn có một mối quan hệ hiện tại thì nó sẽ trở nên ngọt ngào hơn, sâu sắc hơn và thực hơn."
19,4,4,"Mọi việc sẽ rất ổn. Ý tưởng của bạn, đam mê của bạn, cách bạn làm việc sẽ truyển cảm hứng mạnh mẽ cho những người xung quanh. Hãy để tiếng nói bên trong bạn được quyết định. The Empress chỉ dẫn chúng ta để cho niềm vui soi đường và những thứ khác sẽ theo sau đó."
20,4,5,"Trực giác của bạn rất có thể đang cố gửi thông điệp cho bạn. Điều quan trọng là hãy lắng nghe kĩ càng ngay bây giờ và nếu điều đó đòi hỏi bạn dành thời gian một mình, dù vẫn có người đang cần bạn hiện diện, thì ở một mình là ưu tiên cao hơn. Lưu tâm đến bất kì thông điệp hay cảnh báo nào có thể đến với bạn quan giọng nói bên trong."
21,5,1,"Bạn có quyền có một cơ thể khoẻ mạnh. Hãy đảm bảo tính khoa học với những việc bạn làm cho cơ thể. Nề nếp và kỉ luật sẽ rất hữu ích. Ví dụ, nếu bạn đang mắc kẹt với vấn đề sức khoẻ, hãy viết ra các triệu chứng, đi kiểm tra  rồi xem xem yếu tố nào trong lối sống có bạn gây ra chuyện đó. Cân nhắc việc chấn chỉnh lại chế độ ăn uống để kiểm tra xem loại thức ăn nào cơ thể bạn phản ứng không tốt."
22,5,2,"Lá bài này thể hiện bạn cần kỉ luật, logic và sắp xếp tài chính của bạn tốt hơn, bạn chú tâm vào điều gì khi cuộc sống phát triển. Bạn đã trân trọng đồng tiền mình làm ra chưa? Bạn có biết bạn có bao nhiều? Chúng đi đâu? Và tương tự. Đừng tập trung vào những khoản còn thiếu, vì rồi nó sẽ sinh ra. Hãy tập trung vào những gì bạn có và hãy là người quản gia tốt nhất cho tiền của mình."
23,5,3,"Có thể bạn sẽ yêu ai đó hơn tuổi. Người này có thể bị thu hút bởi yếu tố kỷ luật, logic, và tính tổ chức. Sức hút có thể không đến từ hai phía ngay vào lúc đầu nhưng nếu bạn kiên nhẫn và bền bỉ, rất có thể nó sẽ phát triển."
24,5,4,"Công việc đang tốt và công sức của bạn hoàn toàn không bị phớt lờ. Để tâm đến tính tổ chức, hoàn thành đến cùng công việc, và hãy suy nghĩ logic. Thành quả của bạn sẽ cực kì ưu tú. Nếu bạn đang tìm việc. Đây là thời kì cần khách quan và tỉnh táo. Hãy bước ra ngoài và nhìn mình từ góc nhìn của người khác, trả lời câu hỏi tại sao họ phải thuê bạn chứ? Bạn khả năng cao sẽ tìm được việc nếu bạn đủ logic và kiên trì lúc này đây."
